square_id,row,col,total_traffic,is_missing
1,0,0,77228.09460449219,False
2,0,1,77543.75305175781,False
3,0,2,77879.75903320312,False
4,0,3,76313.7861328125,False
5,0,4,69503.39776611328,False
6,0,5,77879.75903320312,False
7,0,6,77879.75895690918,False
8,0,7,77879.75903320312,False
9,0,8,77879.75903320312,False
10,0,9,46959.165771484375,False
11,0,10,25089.86444091797,False
12,0,11,18495.75274658203,False
13,0,12,11419.975799560547,False
14,0,13,18253.572463989258,False
15,0,14,19081.16616821289,False
16,0,15,22887.635345458984,False
17,0,16,27410.633911132812,False
18,0,17,27410.65542602539,False
19,0,18,27412.690551757812,False
20,0,19,27413.568603515625,False
21,0,20,27423.232879638672,False
22,0,21,27435.952880859375,False
23,0,22,29180.230194091797,False
24,0,23,41794.34344482422,False
25,0,24,42154.224609375,False
26,0,25,42154.224609375,False
27,0,26,44820.530212402344,False
28,0,27,49705.42462158203,False
29,0,28,54514.57507324219,False
30,0,29,56483.165771484375,False
31,0,30,56889.295959472656,False
32,0,31,63331.31823730469,False
33,0,32,69819.95788574219,False
34,0,33,64127.145263671875,False
35,0,34,55646.76348876953,False
36,0,35,55646.76348876953,False
37,0,36,55646.76348876953,False
38,0,37,55646.76348876953,False
39,0,38,59991.74865722656,False
40,0,39,59206.96307373047,False
41,0,40,72680.22119140625,False
42,0,41,78541.88391113281,False
43,0,42,129140.58489990234,False
44,0,43,189395.62231445312,False
45,0,44,189395.62231445312,False
46,0,45,189395.62231445312,False
47,0,46,734970.0102539062,False
48,0,47,1066980.8525390625,False
49,0,48,371482.17626953125,False
50,0,49,106783.78967285156,False
51,0,50,89684.41442871094,False
52,0,51,92579.3434753418,False
53,0,52,89462.65673828125,False
54,0,53,99432.95520019531,False
55,0,54,108329.05493164062,False
56,0,55,93578.40563964844,False
57,0,56,77402.23760986328,False
58,0,57,77977.11572265625,False
59,0,58,73705.9605102539,False
60,0,59,65993.9439086914,False
61,0,60,46271.20556640625,False
62,0,61,46271.20556640625,False
63,0,62,47655.728759765625,False
64,0,63,69795.37292480469,False
65,0,64,104733.1357421875,False
66,0,65,106215.76318359375,False
67,0,66,115788.0849609375,False
68,0,67,146231.91967773438,False
69,0,68,119748.89013671875,False
70,0,69,83277.3525390625,False
71,0,70,78311.12084960938,False
72,0,71,88892.38024902344,False
73,0,72,101943.11279296875,False
74,0,73,102413.42248535156,False
75,0,74,102454.92993164062,False
76,0,75,102454.92993164062,False
77,0,76,102454.92993164062,False
78,0,77,102454.92993164062,False
79,0,78,102454.92993164062,False
80,0,79,93066.6689453125,False
81,0,80,56633.87780761719,False
82,0,81,24330.38641357422,False
83,0,82,23768.51089477539,False
84,0,83,23768.51091003418,False
85,0,84,23768.51089477539,False
86,0,85,27927.339904785156,False
87,0,86,39367.731384277344,False
88,0,87,40596.18960571289,False
89,0,88,40596.18960571289,False
90,0,89,40596.18960571289,False
91,0,90,44009.893493652344,False
92,0,91,48819.07209777832,False
93,0,92,71286.899269104,False
94,0,93,120981.06718635559,False
95,0,94,120981.06718635559,False
96,0,95,120981.06718635559,False
97,0,96,120981.06718635559,False
98,0,97,121022.6050632894,False
99,0,98,120981.06718635559,False
100,0,99,120976.45628547668,False
101,1,0,77392.97998046875,False
102,1,1,69632.93310546875,False
